;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 22/4/2022 6:50:47 pm
;----------------------------------------------

;Address Opcode 	ASM
;__Lib_Math.c,593 :: 		
0x0050	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,594 :: 		
0x0052	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,595 :: 		
0x0054	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,596 :: 		
0x0056	0x5E09      	SUBWF       R9, 1, 0
;__Lib_Math.c,597 :: 		
0x0058	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,598 :: 		
0x005A	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,599 :: 		
0x005C	0x3C06      	INCFSZ      R6, 0, 0
;__Lib_Math.c,600 :: 		
0x005E	0x5E0A      	SUBWF       R10, 1, 0
;__Lib_Math.c,601 :: 		
0x0060	0x5007      	MOVF        R7, 0, 0
;__Lib_Math.c,602 :: 		
0x0062	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,603 :: 		
0x0064	0x3C07      	INCFSZ      R7, 0, 0
;__Lib_Math.c,604 :: 		
0x0066	0x5E0B      	SUBWF       R11, 1, 0
;__Lib_Math.c,605 :: 		
0x0068	0xD00D      	BRA         SOK22LA
;__Lib_Math.c,607 :: 		
SADD22LA:
;__Lib_Math.c,608 :: 		
0x006A	0x2608      	ADDWF       R8, 1, 0
;__Lib_Math.c,609 :: 		
0x006C	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,610 :: 		
0x006E	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,611 :: 		
0x0070	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,612 :: 		
0x0072	0x2609      	ADDWF       R9, 1, 0
;__Lib_Math.c,613 :: 		
0x0074	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,614 :: 		
0x0076	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,615 :: 		
0x0078	0x3C06      	INCFSZ      R6, 0, 0
;__Lib_Math.c,616 :: 		
0x007A	0x260A      	ADDWF       R10, 1, 0
;__Lib_Math.c,617 :: 		
0x007C	0x5007      	MOVF        R7, 0, 0
;__Lib_Math.c,618 :: 		
0x007E	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,619 :: 		
0x0080	0x3C07      	INCFSZ      R7, 0, 0
;__Lib_Math.c,620 :: 		
0x0082	0x260B      	ADDWF       R11, 1, 0
;__Lib_Math.c,622 :: 		
SOK22LA:
;__Lib_Math.c,623 :: 		
0x0084	0x3603      	RLCF        R3, 1, 0
;__Lib_Math.c,625 :: 		
0x0086	0x2E0C      	DECFSZ      R12, 1, 0
;__Lib_Math.c,626 :: 		
0x0088	0xD7DA      	BRA         LOOPS3232A
;__Lib_Math.c,628 :: 		
0x008A	0x3402      	RLCF        R2, 0, 0
;__Lib_Math.c,629 :: 		
0x008C	0x3608      	RLCF        R8, 1, 0
;__Lib_Math.c,630 :: 		
0x008E	0x3609      	RLCF        R9, 1, 0
;__Lib_Math.c,631 :: 		
0x0090	0x360A      	RLCF        R10, 1, 0
;__Lib_Math.c,632 :: 		
0x0092	0x360B      	RLCF        R11, 1, 0
;__Lib_Math.c,633 :: 		
0x0094	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,634 :: 		
0x0096	0xA003      	BTFSS       R3, 0, 0
;__Lib_Math.c,635 :: 		
0x0098	0xD00E      	BRA         SADD22L8
;__Lib_Math.c,637 :: 		
0x009A	0x5E08      	SUBWF       R8, 1, 0
;__Lib_Math.c,638 :: 		
0x009C	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,639 :: 		
0x009E	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,640 :: 		
0x00A0	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,641 :: 		
0x00A2	0x5E09      	SUBWF       R9, 1, 0
;__Lib_Math.c,642 :: 		
0x00A4	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,643 :: 		
0x00A6	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,644 :: 		
0x00A8	0x3C06      	INCFSZ      R6, 0, 0
;__Lib_Math.c,645 :: 		
0x00AA	0x5E0A      	SUBWF       R10, 1, 0
;__Lib_Math.c,646 :: 		
0x00AC	0x5007      	MOVF        R7, 0, 0
;__Lib_Math.c,647 :: 		
0x00AE	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,648 :: 		
0x00B0	0x3C07      	INCFSZ      R7, 0, 0
;__Lib_Math.c,649 :: 		
0x00B2	0x5E0B      	SUBWF       R11, 1, 0
;__Lib_Math.c,650 :: 		
0x00B4	0xD00D      	BRA         SOK22L8
;__Lib_Math.c,652 :: 		
SADD22L8:
;__Lib_Math.c,653 :: 		
0x00B6	0x2608      	ADDWF       R8, 1, 0
;__Lib_Math.c,654 :: 		
0x00B8	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,655 :: 		
0x00BA	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,656 :: 		
0x00BC	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,657 :: 		
0x00BE	0x2609      	ADDWF       R9, 1, 0
;__Lib_Math.c,658 :: 		
0x00C0	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,659 :: 		
0x00C2	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,660 :: 		
0x00C4	0x3C06      	INCFSZ      R6, 0, 0
;__Lib_Math.c,661 :: 		
0x00C6	0x260A      	ADDWF       R10, 1, 0
;__Lib_Math.c,662 :: 		
0x00C8	0x5007      	MOVF        R7, 0, 0
;__Lib_Math.c,663 :: 		
0x00CA	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,664 :: 		
0x00CC	0x3C07      	INCFSZ      R7, 0, 0
;__Lib_Math.c,665 :: 		
0x00CE	0x260B      	ADDWF       R11, 1, 0
;__Lib_Math.c,667 :: 		
SOK22L8:
;__Lib_Math.c,668 :: 		
0x00D0	0x3602      	RLCF        R2, 1, 0
;__Lib_Math.c,670 :: 		
0x00D2	0x0E07      	MOVLW       7
;__Lib_Math.c,671 :: 		
0x00D4	0x6E0C      	MOVWF       R12, 0
;__Lib_Math.c,673 :: 		
LOOPS3232B:
;__Lib_Math.c,674 :: 		
0x00D6	0x3402      	RLCF        R2, 0, 0
;__Lib_Math.c,675 :: 		
0x00D8	0x3608      	RLCF        R8, 1, 0
;__Lib_Math.c,676 :: 		
0x00DA	0x3609      	RLCF        R9, 1, 0
;__Lib_Math.c,677 :: 		
0x00DC	0x360A      	RLCF        R10, 1, 0
;__Lib_Math.c,678 :: 		
0x00DE	0x360B      	RLCF        R11, 1, 0
;__Lib_Math.c,679 :: 		
0x00E0	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,680 :: 		
0x00E2	0xA002      	BTFSS       R2, 0, 0
;__Lib_Math.c,681 :: 		
0x00E4	0xD00E      	BRA         SADD22LB
;__Lib_Math.c,683 :: 		
0x00E6	0x5E08      	SUBWF       R8, 1, 0
;__Lib_Math.c,684 :: 		
0x00E8	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,685 :: 		
0x00EA	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,686 :: 		
0x00EC	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,687 :: 		
0x00EE	0x5E09      	SUBWF       R9, 1, 0
;__Lib_Math.c,688 :: 		
0x00F0	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,689 :: 		
0x00F2	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,690 :: 		
0x00F4	0x3C06      	INCFSZ      R6, 0, 0
;__Lib_Math.c,691 :: 		
0x00F6	0x5E0A      	SUBWF       R10, 1, 0
;__Lib_Math.c,692 :: 		
0x00F8	0x5007      	MOVF        R7, 0, 0
;__Lib_Math.c,693 :: 		
0x00FA	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,694 :: 		
0x00FC	0x3C07      	INCFSZ      R7, 0, 0
;__Lib_Math.c,695 :: 		
0x00FE	0x5E0B      	SUBWF       R11, 1, 0
;__Lib_Math.c,696 :: 		
0x0100	0xD00D      	BRA         SOK22LB
;__Lib_Math.c,698 :: 		
SADD22LB:
;__Lib_Math.c,699 :: 		
0x0102	0x2608      	ADDWF       R8, 1, 0
;__Lib_Math.c,700 :: 		
0x0104	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,701 :: 		
0x0106	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,702 :: 		
0x0108	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,703 :: 		
0x010A	0x2609      	ADDWF       R9, 1, 0
;__Lib_Math.c,704 :: 		
0x010C	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,705 :: 		
0x010E	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,706 :: 		
0x0110	0x3C06      	INCFSZ      R6, 0, 0
;__Lib_Math.c,707 :: 		
0x0112	0x260A      	ADDWF       R10, 1, 0
;__Lib_Math.c,708 :: 		
0x0114	0x5007      	MOVF        R7, 0, 0
;__Lib_Math.c,709 :: 		
0x0116	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,710 :: 		
0x0118	0x3C07      	INCFSZ      R7, 0, 0
;__Lib_Math.c,711 :: 		
0x011A	0x260B      	ADDWF       R11, 1, 0
;__Lib_Math.c,713 :: 		
SOK22LB:
;__Lib_Math.c,714 :: 		
0x011C	0x3602      	RLCF        R2, 1, 0
;__Lib_Math.c,716 :: 		
0x011E	0x2E0C      	DECFSZ      R12, 1, 0
;__Lib_Math.c,717 :: 		
0x0120	0xD7DA      	BRA         LOOPS3232B
;__Lib_Math.c,719 :: 		
0x0122	0x3401      	RLCF        R1, 0, 0
;__Lib_Math.c,720 :: 		
0x0124	0x3608      	RLCF        R8, 1, 0
;__Lib_Math.c,721 :: 		
0x0126	0x3609      	RLCF        R9, 1, 0
;__Lib_Math.c,722 :: 		
0x0128	0x360A      	RLCF        R10, 1, 0
;__Lib_Math.c,723 :: 		
0x012A	0x360B      	RLCF        R11, 1, 0
;__Lib_Math.c,724 :: 		
0x012C	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,725 :: 		
0x012E	0xA002      	BTFSS       R2, 0, 0
;__Lib_Math.c,726 :: 		
0x0130	0xD00E      	BRA         SADD22L16
;__Lib_Math.c,728 :: 		
0x0132	0x5E08      	SUBWF       R8, 1, 0
;__Lib_Math.c,729 :: 		
0x0134	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,730 :: 		
0x0136	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,731 :: 		
0x0138	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,732 :: 		
0x013A	0x5E09      	SUBWF       R9, 1, 0
;__Lib_Math.c,733 :: 		
0x013C	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,734 :: 		
0x013E	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,735 :: 		
0x0140	0x3C06      	INCFSZ      R6, 0, 0
;__Lib_Math.c,736 :: 		
0x0142	0x5E0A      	SUBWF       R10, 1, 0
;__Lib_Math.c,737 :: 		
0x0144	0x5007      	MOVF        R7, 0, 0
;__Lib_Math.c,738 :: 		
0x0146	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,739 :: 		
0x0148	0x3C07      	INCFSZ      R7, 0, 0
;__Lib_Math.c,740 :: 		
0x014A	0x5E0B      	SUBWF       R11, 1, 0
;__Lib_Math.c,741 :: 		
0x014C	0xD00D      	BRA         SOK22L16
;__Lib_Math.c,743 :: 		
SADD22L16:
;__Lib_Math.c,744 :: 		
0x014E	0x2608      	ADDWF       R8, 1, 0
;__Lib_Math.c,745 :: 		
0x0150	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,746 :: 		
0x0152	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,747 :: 		
0x0154	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,748 :: 		
0x0156	0x2609      	ADDWF       R9, 1, 0
;__Lib_Math.c,749 :: 		
0x0158	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,750 :: 		
0x015A	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,751 :: 		
0x015C	0x3C06      	INCFSZ      R6, 0, 0
;__Lib_Math.c,752 :: 		
0x015E	0x260A      	ADDWF       R10, 1, 0
;__Lib_Math.c,753 :: 		
0x0160	0x5007      	MOVF        R7, 0, 0
;__Lib_Math.c,754 :: 		
0x0162	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,755 :: 		
0x0164	0x3C07      	INCFSZ      R7, 0, 0
;__Lib_Math.c,756 :: 		
0x0166	0x260B      	ADDWF       R11, 1, 0
;__Lib_Math.c,758 :: 		
SOK22L16:
;__Lib_Math.c,759 :: 		
0x0168	0x3601      	RLCF        R1, 1, 0
;__Lib_Math.c,761 :: 		
0x016A	0x0E07      	MOVLW       7
;__Lib_Math.c,762 :: 		
0x016C	0x6E0C      	MOVWF       R12, 0
;__Lib_Math.c,764 :: 		
LOOPS3232C:
;__Lib_Math.c,765 :: 		
0x016E	0x3401      	RLCF        R1, 0, 0
;__Lib_Math.c,766 :: 		
0x0170	0x3608      	RLCF        R8, 1, 0
;__Lib_Math.c,767 :: 		
0x0172	0x3609      	RLCF        R9, 1, 0
;__Lib_Math.c,768 :: 		
0x0174	0x360A      	RLCF        R10, 1, 0
;__Lib_Math.c,769 :: 		
0x0176	0x360B      	RLCF        R11, 1, 0
;__Lib_Math.c,770 :: 		
0x0178	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,771 :: 		
0x017A	0xA001      	BTFSS       R1, 0, 0
;__Lib_Math.c,772 :: 		
0x017C	0xD00E      	BRA         SADD22LC
;__Lib_Math.c,774 :: 		
0x017E	0x5E08      	SUBWF       R8, 1, 0
;__Lib_Math.c,775 :: 		
0x0180	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,776 :: 		
0x0182	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,777 :: 		
0x0184	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,778 :: 		
0x0186	0x5E09      	SUBWF       R9, 1, 0
;__Lib_Math.c,779 :: 		
0x0188	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,780 :: 		
0x018A	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,781 :: 		
0x018C	0x3C06      	INCFSZ      R6, 0, 0
;__Lib_Math.c,782 :: 		
0x018E	0x5E0A      	SUBWF       R10, 1, 0
;__Lib_Math.c,783 :: 		
0x0190	0x5007      	MOVF        R7, 0, 0
;__Lib_Math.c,784 :: 		
0x0192	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,785 :: 		
0x0194	0x3C07      	INCFSZ      R7, 0, 0
;__Lib_Math.c,786 :: 		
0x0196	0x5E0B      	SUBWF       R11, 1, 0
;__Lib_Math.c,787 :: 		
0x0198	0xD00D      	BRA         SOK22LC
;__Lib_Math.c,789 :: 		
SADD22LC:
;__Lib_Math.c,790 :: 		
0x019A	0x2608      	ADDWF       R8, 1, 0
;__Lib_Math.c,791 :: 		
0x019C	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,792 :: 		
0x019E	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,793 :: 		
0x01A0	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,794 :: 		
0x01A2	0x2609      	ADDWF       R9, 1, 0
;__Lib_Math.c,795 :: 		
0x01A4	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,796 :: 		
0x01A6	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,797 :: 		
0x01A8	0x3C06      	INCFSZ      R6, 0, 0
;__Lib_Math.c,798 :: 		
0x01AA	0x260A      	ADDWF       R10, 1, 0
;__Lib_Math.c,799 :: 		
0x01AC	0x5007      	MOVF        R7, 0, 0
;__Lib_Math.c,800 :: 		
0x01AE	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,801 :: 		
0x01B0	0x3C07      	INCFSZ      R7, 0, 0
;__Lib_Math.c,802 :: 		
0x01B2	0x260B      	ADDWF       R11, 1, 0
;__Lib_Math.c,804 :: 		
SOK22LC:
;__Lib_Math.c,805 :: 		
0x01B4	0x3601      	RLCF        R1, 1, 0
;__Lib_Math.c,807 :: 		
0x01B6	0x2E0C      	DECFSZ      R12, 1, 0
;__Lib_Math.c,808 :: 		
0x01B8	0xD7DA      	BRA         LOOPS3232C
;__Lib_Math.c,810 :: 		
0x01BA	0x3400      	RLCF        R0, 0, 0
;__Lib_Math.c,811 :: 		
0x01BC	0x3608      	RLCF        R8, 1, 0
;__Lib_Math.c,812 :: 		
0x01BE	0x3609      	RLCF        R9, 1, 0
;__Lib_Math.c,813 :: 		
0x01C0	0x360A      	RLCF        R10, 1, 0
;__Lib_Math.c,814 :: 		
0x01C2	0x360B      	RLCF        R11, 1, 0
;__Lib_Math.c,815 :: 		
0x01C4	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,816 :: 		
0x01C6	0xA001      	BTFSS       R1, 0, 0
;__Lib_Math.c,817 :: 		
0x01C8	0xD00E      	BRA         SADD22L24
;__Lib_Math.c,819 :: 		
0x01CA	0x5E08      	SUBWF       R8, 1, 0
;__Lib_Math.c,820 :: 		
0x01CC	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,821 :: 		
0x01CE	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,822 :: 		
0x01D0	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,823 :: 		
0x01D2	0x5E09      	SUBWF       R9, 1, 0
;__Lib_Math.c,824 :: 		
0x01D4	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,825 :: 		
0x01D6	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,826 :: 		
0x01D8	0x3C06      	INCFSZ      R6, 0, 0
;__Lib_Math.c,827 :: 		
0x01DA	0x5E0A      	SUBWF       R10, 1, 0
;__Lib_Math.c,828 :: 		
0x01DC	0x5007      	MOVF        R7, 0, 0
;__Lib_Math.c,829 :: 		
0x01DE	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,830 :: 		
0x01E0	0x3C07      	INCFSZ      R7, 0, 0
;__Lib_Math.c,831 :: 		
0x01E2	0x5E0B      	SUBWF       R11, 1, 0
;__Lib_Math.c,832 :: 		
0x01E4	0xD00D      	BRA         SOK22L24
;__Lib_Math.c,834 :: 		
SADD22L24:
;__Lib_Math.c,835 :: 		
0x01E6	0x2608      	ADDWF       R8, 1, 0
;__Lib_Math.c,836 :: 		
0x01E8	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,837 :: 		
0x01EA	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,838 :: 		
0x01EC	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,839 :: 		
0x01EE	0x2609      	ADDWF       R9, 1, 0
;__Lib_Math.c,840 :: 		
0x01F0	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,841 :: 		
0x01F2	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,842 :: 		
0x01F4	0x3C06      	INCFSZ      R6, 0, 0
;__Lib_Math.c,843 :: 		
0x01F6	0x260A      	ADDWF       R10, 1, 0
;__Lib_Math.c,844 :: 		
0x01F8	0x5007      	MOVF        R7, 0, 0
;__Lib_Math.c,845 :: 		
0x01FA	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,846 :: 		
0x01FC	0x3C07      	INCFSZ      R7, 0, 0
;__Lib_Math.c,847 :: 		
0x01FE	0x260B      	ADDWF       R11, 1, 0
;__Lib_Math.c,849 :: 		
SOK22L24:
;__Lib_Math.c,850 :: 		
0x0200	0x3600      	RLCF        R0, 1, 0
;__Lib_Math.c,852 :: 		
0x0202	0x0E07      	MOVLW       7
;__Lib_Math.c,853 :: 		
0x0204	0x6E0C      	MOVWF       R12, 0
;__Lib_Math.c,855 :: 		
LOOPS3232D:
;__Lib_Math.c,856 :: 		
0x0206	0x3400      	RLCF        R0, 0, 0
;__Lib_Math.c,857 :: 		
0x0208	0x3608      	RLCF        R8, 1, 0
;__Lib_Math.c,858 :: 		
0x020A	0x3609      	RLCF        R9, 1, 0
;__Lib_Math.c,859 :: 		
0x020C	0x360A      	RLCF        R10, 1, 0
;__Lib_Math.c,860 :: 		
0x020E	0x360B      	RLCF        R11, 1, 0
;__Lib_Math.c,861 :: 		
0x0210	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,862 :: 		
0x0212	0xA000      	BTFSS       R0, 0, 0
;__Lib_Math.c,863 :: 		
0x0214	0xD00E      	BRA         SADD22LD
;__Lib_Math.c,865 :: 		
0x0216	0x5E08      	SUBWF       R8, 1, 0
;__Lib_Math.c,866 :: 		
0x0218	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,867 :: 		
0x021A	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,868 :: 		
0x021C	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,869 :: 		
0x021E	0x5E09      	SUBWF       R9, 1, 0
;__Lib_Math.c,870 :: 		
0x0220	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,871 :: 		
0x0222	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,872 :: 		
0x0224	0x3C06      	INCFSZ      R6, 0, 0
;__Lib_Math.c,873 :: 		
0x0226	0x5E0A      	SUBWF       R10, 1, 0
;__Lib_Math.c,874 :: 		
0x0228	0x5007      	MOVF        R7, 0, 0
;__Lib_Math.c,875 :: 		
0x022A	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,876 :: 		
0x022C	0x3C07      	INCFSZ      R7, 0, 0
;__Lib_Math.c,877 :: 		
0x022E	0x5E0B      	SUBWF       R11, 1, 0
;__Lib_Math.c,878 :: 		
0x0230	0xD00D      	BRA         SOK22LD
;__Lib_Math.c,880 :: 		
SADD22LD:
;__Lib_Math.c,881 :: 		
0x0232	0x2608      	ADDWF       R8, 1, 0
;__Lib_Math.c,882 :: 		
0x0234	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,883 :: 		
0x0236	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,884 :: 		
0x0238	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,885 :: 		
0x023A	0x2609      	ADDWF       R9, 1, 0
;__Lib_Math.c,886 :: 		
0x023C	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,887 :: 		
0x023E	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,888 :: 		
0x0240	0x3C06      	INCFSZ      R6, 0, 0
;__Lib_Math.c,889 :: 		
0x0242	0x260A      	ADDWF       R10, 1, 0
;__Lib_Math.c,890 :: 		
0x0244	0x5007      	MOVF        R7, 0, 0
;__Lib_Math.c,891 :: 		
0x0246	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,893 :: 		
0x0248	0x3C07      	INCFSZ      R7, 0, 0
;__Lib_Math.c,894 :: 		
0x024A	0x260B      	ADDWF       R11, 1, 0
;__Lib_Math.c,896 :: 		
SOK22LD:
;__Lib_Math.c,897 :: 		
0x024C	0x3600      	RLCF        R0, 1, 0
;__Lib_Math.c,899 :: 		
0x024E	0x2E0C      	DECFSZ      R12, 1, 0
;__Lib_Math.c,900 :: 		
0x0250	0xD7DA      	BRA         LOOPS3232D
;__Lib_Math.c,902 :: 		
0x0252	0xB000      	BTFSC       R0, 0, 0
;__Lib_Math.c,903 :: 		
0x0254	0xD00E      	BRA         SOK22L
;__Lib_Math.c,904 :: 		
0x0256	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,905 :: 		
0x0258	0x2608      	ADDWF       R8, 1, 0
;__Lib_Math.c,906 :: 		
0x025A	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,907 :: 		
0x025C	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,908 :: 		
0x025E	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,909 :: 		
0x0260	0x2609      	ADDWF       R9, 1, 0
;__Lib_Math.c,910 :: 		
0x0262	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,911 :: 		
0x0264	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,912 :: 		
